recv_ts,t_ms,avg_bpm,last_bpm,beats,ir,finger
2026-07-23T21:09:42,2028468,45,26.9,0,137887,1
2026-07-23T21:09:42,2031483,45,6.9,1,138767,1
2026-07-23T21:09:42,2034498,54,85.2,3,139237,1
2026-07-23T21:09:42,2037510,54,85.2,0,138892,1
2026-07-23T21:09:42,2040526,55,29.0,2,138585,1
2026-07-23T21:09:42,2043539,62,60.9,1,138860,1
2026-07-23T21:09:42,2046554,60,82.9,3,139365,1
2026-07-23T21:09:42,2049568,56,39.3,2,139050,1
2026-07-23T21:09:42,2052581,48,61.0,2,138672,1
2026-07-23T21:09:42,2055595,74,165.7,3,138967,1
2026-07-23T21:09:42,2058610,86,76.5,2,139551,1
2026-07-23T21:09:42,2061624,54,71.1,3,138861,1
2026-07-23T21:09:42,2064638,57,37.8,2,139681,1
2026-07-23T21:09:42,2067652,51,63.6,2,139767,1
2026-07-23T21:09:42,2070665,72,64.8,3,139180,1
2026-07-23T21:09:42,2073678,73,53.4,3,138872,1
2026-07-23T21:09:42,2076693,65,35.9,1,138993,1
2026-07-23T21:09:42,2079706,35,32.8,2,139078,1
2026-07-23T21:09:42,2082720,33,45.2,1,139061,1
2026-07-23T21:09:42,2085734,43,31.4,3,139280,1
2026-07-23T21:09:42,2088749,67,99.3,2,139432,1
2026-07-23T21:09:42,2091762,68,90.6,3,139321,1
2026-07-23T21:09:42,2094776,70,58.5,3,137789,1
2026-07-23T21:09:42,2097790,47,39.3,2,138944,1
2026-07-23T21:09:42,2100804,50,93.5,2,138674,1
2026-07-23T21:09:42,2103819,55,45.2,2,138518,1
2026-07-23T21:09:42,2106833,42,43.3,2,138792,1
2026-07-23T21:09:42,2109846,37,59.8,2,138639,1
2026-07-23T21:09:42,3004,0,0.0,0,3911,0
2026-07-23T21:09:42,3002,0,0.0,0,684,0
2026-07-23T21:09:42,6012,0,0.0,2,467,0
2026-07-23T21:09:42,9022,0,0.0,0,470,0
2026-07-23T21:09:42,12032,0,0.0,0,475,0
2026-07-23T21:09:42,15042,0,0.0,0,472,0
2026-07-23T21:09:42,18052,0,0.0,0,466,0
2026-07-23T21:09:42,21061,0,0.0,0,472,0
2026-07-23T21:09:42,24071,0,0.0,0,476,0
2026-07-23T21:09:42,27082,0,0.0,1,542,0
2026-07-23T21:09:42,30092,0,0.0,0,535,0
2026-07-23T21:09:42,33100,0,0.0,0,552,0
2026-07-23T21:09:42,36111,0,0.0,0,480,0
2026-07-23T21:09:42,39120,0,0.0,2,481,0
2026-07-23T21:09:42,42130,0,0.0,0,490,0
2026-07-23T21:09:42,45141,0,0.0,0,483,0
2026-07-23T21:09:42,48151,0,0.0,0,481,0
2026-07-23T21:09:42,51160,0,0.0,0,475,0
2026-07-23T21:09:43,54171,0,0.0,0,469,0
2026-07-23T21:09:43,57181,0,0.0,0,473,0
2026-07-23T21:09:43,60191,0,0.0,0,481,0
2026-07-23T21:09:43,63201,0,0.0,0,537,0
2026-07-23T21:09:43,66210,0,0.0,1,528,0
2026-07-23T21:09:43,69221,0,0.0,0,518,0
2026-07-23T21:09:43,72230,0,0.0,0,579,0
2026-07-23T21:09:43,75240,0,0.0,1,566,0
2026-07-23T21:09:43,78251,0,0.0,0,553,0
2026-07-23T21:09:43,3019,0,0.0,0,732,0
2026-07-23T21:09:43,6028,0,0.0,0,795,0
2026-07-23T21:09:43,9039,0,0.0,2,727,0
2026-07-23T21:09:43,12048,0,0.0,1,689,0
2026-07-23T21:09:43,15059,0,0.0,2,26680,0
2026-07-23T21:09:43,18069,0,0.0,7,26798,0
2026-07-23T21:09:43,21080,0,0.0,1,26873,0
2026-07-23T21:09:43,24089,0,0.0,0,26922,0
2026-07-23T21:09:43,27099,0,0.0,0,26973,0
2026-07-23T21:09:43,30109,0,0.0,0,27006,0
2026-07-23T21:09:43,3008,0,0.0,0,27059,0
2026-07-23T21:09:43,6018,0,0.0,0,27090,0
2026-07-23T21:09:43,9027,0,0.0,0,27117,0
2026-07-23T21:09:43,12038,0,0.0,0,27164,0
2026-07-23T21:09:43,15048,0,0.0,0,477,0
2026-07-23T21:09:43,18058,0,0.0,0,808,0
2026-07-23T21:09:43,21069,0,0.0,1,458,0
2026-07-23T21:09:43,24079,0,0.0,0,468,0
2026-07-23T21:09:43,27089,0,0.0,0,460,0
2026-07-23T21:09:43,30099,0,0.0,0,467,0
2026-07-23T21:09:43,33109,0,0.0,0,457,0
2026-07-23T21:09:43,36120,0,0.0,0,463,0
2026-07-23T21:09:43,39130,0,0.0,0,493,0
2026-07-23T21:09:43,42140,0,0.0,0,495,0
2026-07-23T21:09:43,45151,0,0.0,0,510,0
2026-07-23T21:09:43,48162,0,0.0,0,519,0
2026-07-23T21:09:43,51171,0,0.0,0,505,0
2026-07-23T21:09:43,54182,0,0.0,0,516,0
2026-07-23T21:09:43,57192,0,0.0,0,514,0
2026-07-23T21:09:43,60203,0,0.0,0,511,0
2026-07-23T21:09:43,63213,0,0.0,0,510,0
2026-07-23T21:09:43,66222,0,0.0,0,513,0
2026-07-23T21:09:43,69234,0,0.0,0,512,0
2026-07-23T21:09:43,72244,0,0.0,0,522,0
2026-07-23T21:09:44,75253,0,0.0,0,512,0
2026-07-23T21:09:44,78264,0,0.0,0,529,0
2026-07-23T21:09:44,81274,0,0.0,0,499,0
2026-07-23T21:09:44,84284,0,0.0,0,497,0
2026-07-23T21:09:44,87295,0,0.0,0,490,0
2026-07-23T21:09:44,90304,0,0.0,0,900,0
2026-07-23T21:09:44,93316,0,0.0,1,565,0
2026-07-23T21:09:44,96325,0,0.0,1,475,0
2026-07-23T21:09:44,99336,0,0.0,1,6290,0
2026-07-23T21:09:44,102346,0,0.0,0,474,0
2026-07-23T21:09:44,105357,0,0.0,1,528,0
2026-07-23T21:09:44,108368,0,0.0,1,464,0
2026-07-23T21:09:44,111377,0,0.0,0,473,0
2026-07-23T21:09:44,114389,0,0.0,0,474,0
2026-07-23T21:09:44,117398,0,0.0,0,478,0
2026-07-23T21:09:44,120408,0,0.0,0,473,0
2026-07-23T21:09:44,123419,0,0.0,0,465,0
2026-07-23T21:09:44,126429,0,0.0,0,465,0
2026-07-23T21:09:44,129440,0,0.0,0,466,0
2026-07-23T21:09:44,132450,0,0.0,0,462,0
2026-07-23T21:09:44,135460,0,0.0,0,474,0
2026-07-23T21:09:44,138469,0,0.0,0,477,0
2026-07-23T21:09:44,141481,0,0.0,0,487,0
